Timestamp,Class_ID,Label,Velocity (pixels/sec)
1.4109,0,Drumstick-Heads,166.91
1.5671,0,Drumstick-Heads,828.69
1.7069,0,Drumstick-Heads,563.04
1.8308,0,Drumstick-Heads,329.22
2.6699,0,Drumstick-Heads,13.86
3.4603,0,Drumstick-Heads,571.44
3.5688,0,Drumstick-Heads,3342.51
4.1113,0,Drumstick-Heads,55.71
4.2484,0,Drumstick-Heads,300.41
4.3894,0,Drumstick-Heads,784.68
4.4973,0,Drumstick-Heads,1648.27
4.6060,0,Drumstick-Heads,83.00
4.7142,0,Drumstick-Heads,184.83
4.8366,0,Drumstick-Heads,203.51
4.9451,0,Drumstick-Heads,359.63
5.0543,0,Drumstick-Heads,272.58
5.1630,0,Drumstick-Heads,3962.00
5.2724,0,Drumstick-Heads,87.28
5.3811,0,Drumstick-Heads,4265.75
5.4897,0,Drumstick-Heads,4342.45
5.5978,0,Drumstick-Heads,88.98
5.7072,0,Drumstick-Heads,4108.99
5.8164,0,Drumstick-Heads,3964.15
5.9246,0,Drumstick-Heads,3916.83
6.0350,0,Drumstick-Heads,3690.10
6.1428,0,Drumstick-Heads,3707.44
6.2537,0,Drumstick-Heads,102.00
6.3600,0,Drumstick-Heads,3573.17
6.4693,0,Drumstick-Heads,3443.73
6.5771,0,Drumstick-Heads,3533.62
6.6862,0,Drumstick-Heads,160.58
6.7961,0,Drumstick-Heads,3588.44
6.9052,0,Drumstick-Heads,94.32
7.0149,0,Drumstick-Heads,565.47
7.1227,0,Drumstick-Heads,38.24
7.2317,0,Drumstick-Heads,16.54
7.3394,0,Drumstick-Heads,23.20
7.4484,0,Drumstick-Heads,3636.54
7.5572,0,Drumstick-Heads,3422.67
7.6672,0,Drumstick-Heads,3292.32
7.7756,0,Drumstick-Heads,37.18
7.8835,0,Drumstick-Heads,540.20
7.9923,0,Drumstick-Heads,18.38
8.1011,0,Drumstick-Heads,3416.87
8.2105,0,Drumstick-Heads,3359.61
8.3177,0,Drumstick-Heads,3825.13
8.4260,0,Drumstick-Heads,915.65
8.5339,0,Drumstick-Heads,20.72
8.6434,0,Drumstick-Heads,3193.90
8.7521,0,Drumstick-Heads,3278.15
8.8615,0,Drumstick-Heads,3826.01
8.9724,0,Drumstick-Heads,3437.16
9.0789,0,Drumstick-Heads,869.14
9.1883,0,Drumstick-Heads,471.61
9.2981,0,Drumstick-Heads,262.26
9.4076,0,Drumstick-Heads,279.04
9.5165,0,Drumstick-Heads,3893.93
9.6260,0,Drumstick-Heads,345.69
9.7345,0,Drumstick-Heads,4090.62
9.8436,0,Drumstick-Heads,4964.91
9.9509,0,Drumstick-Heads,4494.26
10.0599,0,Drumstick-Heads,4419.13
10.1682,0,Drumstick-Heads,29.21
10.2769,0,Drumstick-Heads,36.80
10.3849,0,Drumstick-Heads,400.94
10.4949,0,Drumstick-Heads,4283.90
10.6033,0,Drumstick-Heads,4247.11
10.7119,0,Drumstick-Heads,4657.20
10.8215,0,Drumstick-Heads,4430.94
10.9309,0,Drumstick-Heads,3975.99
11.0393,0,Drumstick-Heads,3723.49
11.1490,0,Drumstick-Heads,79.62
11.2595,0,Drumstick-Heads,4549.37
11.3684,0,Drumstick-Heads,58.79
11.4762,0,Drumstick-Heads,4125.70
