epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1921,2.47377,3.95264,1.67766,0.00574,0.86111,0.01092,0.0054,1.65234,3.89199,1.18533,0.00028,0.00028,0.00028
2,60.7872,1.93293,2.10801,1.24993,0.00574,0.86111,0.01013,0.00393,1.75367,3.98859,1.23057,0.00056086,0.00056086,0.00056086
3,90.5857,1.812,1.77625,1.20932,0.00204,0.30556,0.00192,0.00046,2.50867,5.18046,1.61159,0.00082192,0.00082192,0.00082192
4,120.352,1.77741,1.59956,1.21587,0.00574,0.86111,0.22156,0.09541,1.71315,3.45789,1.22303,0.00106318,0.00106318,0.00106318
5,150.603,1.6949,1.4969,1.20273,0.00593,0.88889,0.67608,0.29766,1.7959,3.1339,1.29393,0.00128464,0.00128464,0.00128464
6,183.385,1.66935,1.40647,1.21969,0.93978,0.80556,0.85672,0.39335,1.79506,2.81963,1.30583,0.0014863,0.0014863,0.0014863
7,213.746,1.66768,1.34051,1.21509,0.34251,0.80556,0.31912,0.15555,1.6876,2.38674,1.27687,0.001604,0.001604,0.001604
8,249.851,1.6472,1.30716,1.18055,0.84657,0.83333,0.85463,0.42506,1.68959,1.69231,1.27604,0.001538,0.001538,0.001538
9,287.886,1.61582,1.30201,1.16864,0.84208,0.80556,0.81959,0.40192,1.73084,1.77339,1.26643,0.001472,0.001472,0.001472
10,325.086,1.62052,1.21348,1.18308,0.99267,0.80556,0.84436,0.47541,1.72566,1.44477,1.25961,0.001406,0.001406,0.001406
11,361.708,1.54151,1.09887,1.15755,0.95912,0.86111,0.93254,0.46429,1.68988,1.28113,1.24918,0.00134,0.00134,0.00134
12,397.549,1.54188,1.0645,1.14202,1,0.8572,0.94684,0.50413,1.65002,1.19711,1.22138,0.001274,0.001274,0.001274
13,437.74,1.45797,1.0068,1.11737,0.99383,0.86111,0.93732,0.45753,1.69939,1.17121,1.22163,0.001208,0.001208,0.001208
14,474.227,1.53257,0.97536,1.13263,0.97725,0.83333,0.89408,0.38124,1.92407,1.23986,1.2964,0.001142,0.001142,0.001142
15,509.738,1.44023,0.94517,1.11278,0.99153,0.88889,0.92691,0.48008,1.8287,1.166,1.2711,0.001076,0.001076,0.001076
16,545.888,1.48263,0.93911,1.10889,0.97051,0.91411,0.9519,0.50441,1.70678,1.0961,1.22642,0.00101,0.00101,0.00101
17,581.592,1.40935,0.91809,1.09147,1,0.88651,0.94055,0.47142,1.74462,1.1248,1.23942,0.000944,0.000944,0.000944
18,620.095,1.39276,0.85155,1.08957,0.99514,0.88889,0.94009,0.50561,1.64702,1.05707,1.20489,0.000878,0.000878,0.000878
19,659.405,1.39604,0.84868,1.08454,1,0.85844,0.91471,0.46265,1.70168,1.05812,1.20964,0.000812,0.000812,0.000812
20,700.5,1.33369,0.80347,1.09036,0.99659,0.83333,0.87157,0.4571,1.75676,1.03247,1.26402,0.000746,0.000746,0.000746
21,741.888,1.32784,0.80695,1.10167,0.9637,0.80556,0.83723,0.38697,2.01384,1.12422,1.36158,0.00068,0.00068,0.00068
22,782.014,1.31361,0.76358,1.09531,0.99771,0.83333,0.87112,0.50703,1.69184,1.0095,1.22206,0.000614,0.000614,0.000614
23,820.98,1.29599,0.74349,1.09485,1,0.83136,0.86298,0.48192,1.74311,0.98034,1.22694,0.000548,0.000548,0.000548
24,861.664,1.28014,0.7497,1.07205,0.96962,0.88667,0.88421,0.50326,1.63065,0.97585,1.1842,0.000482,0.000482,0.000482
25,902.025,1.25583,0.71942,1.06248,0.96947,0.88217,0.919,0.50424,1.64575,0.95437,1.18039,0.000416,0.000416,0.000416
26,944.007,1.20611,0.70083,1.05486,0.99336,0.86111,0.95559,0.50668,1.62479,0.90428,1.18437,0.00035,0.00035,0.00035
27,983.966,1.20032,0.69255,1.04677,0.99584,0.86111,0.95606,0.50688,1.65659,0.90853,1.18951,0.000284,0.000284,0.000284
28,1021.84,1.169,0.68437,1.03569,0.99765,0.86111,0.92016,0.5024,1.65071,0.90423,1.18031,0.000218,0.000218,0.000218
29,1058.65,1.15539,0.66274,1.02208,0.99655,0.86111,0.92582,0.51976,1.63656,0.93393,1.18087,0.000152,0.000152,0.000152
30,1095.82,1.15011,0.65226,1.03292,0.99616,0.86111,0.93053,0.5147,1.63868,0.93105,1.18572,8.6e-05,8.6e-05,8.6e-05
